@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
131,10,2,715,129,0.847156,0.833333,0.013793,0.833333,0.986207,0.027137,0.846963,0.983908,0
132,10,2,714,130,0.845972,0.833333,0.013812,0.833333,0.986188,0.027174,0.845794,0.985267,0
133,10,2,713,131,0.844787,0.833333,0.013831,0.833333,0.986169,0.027211,0.844626,0.98663,0
134,10,2,712,132,0.843602,0.833333,0.01385,0.833333,0.98615,0.027248,0.843458,0.987996,0
135,10,2,711,133,0.842417,0.833333,0.01387,0.833333,0.98613,0.027285,0.84229,0.989367,0
136,10,2,710,134,0.841232,0.833333,0.013889,0.833333,0.986111,0.027322,0.841121,0.990741,0
137,10,2,709,135,0.840047,0.833333,0.013908,0.833333,0.986092,0.02736,0.839953,0.992119,0
138,10,2,708,136,0.838863,0.833333,0.013928,0.833333,0.986072,0.027397,0.838785,0.9935,0
139,10,2,707,137,0.837678,0.833333,0.013947,0.833333,0.986053,0.027435,0.837617,0.994886,0
140,10,2,706,138,0.836493,0.833333,0.013966,0.833333,0.986034,0.027473,0.836449,0.996276,0
141,10,2,705,139,0.835308,0.833333,0.013986,0.833333,0.986014,0.02751,0.83528,0.997669,0
142,10,2,704,140,0.834123,0.833333,0.014006,0.833333,0.985994,0.027548,0.834112,0.999066,0
143,10,2,703,141,0.832938,0.833333,0.014025,0.833333,0.985975,0.027586,0.832944,1.000468,0
144,10,2,702,142,0.831754,0.833333,0.014045,0.833333,0.985955,0.027624,0.831776,1.001873,0
145,10,2,701,143,0.830569,0.833333,0.014065,0.833333,0.985935,0.027663,0.830607,1.003282,0
146,10,2,700,144,0.829384,0.833333,0.014085,0.833333,0.985915,0.027701,0.829439,1.004695,0
147,10,2,699,145,0.828199,0.833333,0.014104,0.833333,0.985896,0.027739,0.828271,1.006112,0
148,10,2,698,146,0.827014,0.833333,0.014124,0.833333,0.985876,0.027778,0.827103,1.007533,0
149,10,2,697,147,0.825829,0.833333,0.014144,0.833333,0.985856,0.027816,0.825935,1.008958,0
150,10,2,696,148,0.824645,0.833333,0.014164,0.833333,0.985836,0.027855,0.824766,1.010387,0
151,10,2,695,149,0.82346,0.833333,0.014184,0.833333,0.985816,0.027894,0.823598,1.01182,0
152,10,2,694,150,0.822275,0.833333,0.014205,0.833333,0.985795,0.027933,0.82243,1.013258,0
153,10,2,693,151,0.82109,0.833333,0.014225,0.833333,0.985775,0.027972,0.821262,1.014699,0
154,10,2,692,152,0.819905,0.833333,0.014245,0.833333,0.985755,0.028011,0.820093,1.016144,0
155,10,2,691,153,0.81872,0.833333,0.014265,0.833333,0.985735,0.02805,0.818925,1.017594,0
156,10,2,690,154,0.817536,0.833333,0.014286,0.833333,0.985714,0.02809,0.817757,1.019048,0
157,10,2,689,155,0.816351,0.833333,0.014306,0.833333,0.985694,0.028129,0.816589,1.020505,0
158,10,2,688,156,0.815166,0.833333,0.014327,0.833333,0.985673,0.028169,0.815421,1.021968,0
159,10,2,687,157,0.813981,0.833333,0.014347,0.833333,0.985653,0.028209,0.814252,1.023434,0
160,10,2,686,158,0.812796,0.833333,0.014368,0.833333,0.985632,0.028249,0.813084,1.024904,0
161,10,2,685,159,0.811611,0.833333,0.014388,0.833333,0.985612,0.028289,0.811916,1.026379,0
162,10,2,684,160,0.810427,0.833333,0.014409,0.833333,0.985591,0.028329,0.810748,1.027858,0
163,10,2,683,161,0.809242,0.833333,0.01443,0.833333,0.98557,0.028369,0.809579,1.029341,0
164,10,2,682,162,0.808057,0.833333,0.014451,0.833333,0.985549,0.028409,0.808411,1.030829,0
165,10,2,681,163,0.806872,0.833333,0.014472,0.833333,0.985528,0.02845,0.807243,1.03232,0
166,10,2,680,164,0.805687,0.833333,0.014493,0.833333,0.985507,0.02849,0.806075,1.033816,0
167,10,2,679,165,0.804502,0.833333,0.014514,0.833333,0.985486,0.028531,0.804907,1.035317,0
168,10,2,678,166,0.803318,0.833333,0.014535,0.833333,0.985465,0.028571,0.803738,1.036822,0
169,10,2,677,167,0.802133,0.833333,0.014556,0.833333,0.985444,0.028612,0.80257,1.038331,0
170,10,2,676,168,0.800948,0.833333,0.014577,0.833333,0.985423,0.028653,0.801402,1.039845,0
171,10,2,675,169,0.799763,0.833333,0.014599,0.833333,0.985401,0.028694,0.800234,1.041363,0
172,10,2,674,170,0.798578,0.833333,0.01462,0.833333,0.98538,0.028736,0.799065,1.042885,0
173,10,2,673,171,0.797393,0.833333,0.014641,0.833333,0.985359,0.028777,0.797897,1.044412,0
174,10,2,672,172,0.796209,0.833333,0.014663,0.833333,0.985337,0.028818,0.796729,1.045943,0
175,10,2,671,173,0.795024,0.833333,0.014684,0.833333,0.985316,0.02886,0.795561,1.047479,0
176,10,2,670,174,0.793839,0.833333,0.014706,0.833333,0.985294,0.028902,0.794393,1.04902,0
177,10,2,669,175,0.792654,0.833333,0.014728,0.833333,0.985272,0.028944,0.793224,1.050565,0
178,10,2,668,176,0.791469,0.833333,0.014749,0.833333,0.985251,0.028986,0.792056,1.052114,0
179,10,2,667,177,0.790284,0.833333,0.014771,0.833333,0.985229,0.029028,0.790888,1.053668,0
180,10,2,666,178,0.7891,0.833333,0.014793,0.833333,0.985207,0.02907,0.78972,1.055227,0
181,10,2,665,179,0.787915,0.833333,0.014815,0.833333,0.985185,0.029112,0.788551,1.05679,0
182,10,2,664,180,0.78673,0.833333,0.014837,0.833333,0.985163,0.029155,0.787383,1.058358,0
183,10,2,663,181,0.785545,0.833333,0.014859,0.833333,0.985141,0.029197,0.786215,1.059931,0
184,10,2,662,182,0.78436,0.833333,0.014881,0.833333,0.985119,0.02924,0.785047,1.061508,0
185,10,2,661,183,0.783175,0.833333,0.014903,0.833333,0.985097,0.029283,0.783879,1.06309,0
186,10,2,660,184,0.781991,0.833333,0.014925,0.833333,0.985075,0.029326,0.78271,1.064677,0
187,10,2,659,185,0.780806,0.833333,0.014948,0.833333,0.985052,0.029369,0.781542,1.066268,0
188,10,2,658,186,0.779621,0.833333,0.01497,0.833333,0.98503,0.029412,0.780374,1.067864,0
189,10,2,657,187,0.778436,0.833333,0.014993,0.833333,0.985007,0.029455,0.779206,1.069465,0
190,10,2,656,188,0.777251,0.833333,0.015015,0.833333,0.984985,0.029499,0.778037,1.071071,0
191,10,2,655,189,0.776066,0.833333,0.015038,0.833333,0.984962,0.029542,0.776869,1.072682,0
192,10,2,654,190,0.774882,0.833333,0.01506,0.833333,0.98494,0.029586,0.775701,1.074297,0
193,10,2,653,191,0.773697,0.833333,0.015083,0.833333,0.984917,0.02963,0.774533,1.075918,0
194,10,2,652,192,0.772512,0.833333,0.015106,0.833333,0.984894,0.029674,0.773364,1.077543,0
